McDonalds,www.mcdonalds.com,1,1,1,10
Burger King,NULL,1,1,1,9
Wendys,NULL,1,1,1,9
Subway,NULL,1,1,1,7
Starbucks,NULL,1,1,1,5
Taco Bell,NULL,1,1,1,7
Dunkin Donuts,NULL,1,1,1,6
Pizza Hut,NULL,1,1,1,5
KFC,NULL,1,1,1,5
Applebees,NULL,1,1,1,6
Chick-fil-A,NULL,0,0,0,0
Sonic,NULL,0,0,0,0
Olive Garden,NULL,0,0,0,0
Chilis,NULL,0,0,0,0
Dominos,NULL,0,0,0,0
Panera,NULL,0,0,0,0
Jack in the Box,NULL,0,0,0,0
Arbys,NULL,0,0,0,0
Dairy Queen,NULL,0,0,0,0
Red Lobester,NULL,0,0,0,0
IHOP,NULL,0,0,0,0
Dennys,NULL,0,0,0,0
Outback Steakhouse,NULL,0,0,0,0
Chipotle,NULL,0,0,0,0
Papa Johns Pizza,NULL,0,0,0,0
Buffalo Wild Wings,NULL,0,0,0,0
Cracker Barrel,NULL,0,0,0,0
Hardees,NULL,0,0,0,0
T.G.I. Fridays,NULL,0,0,0,0
Popeyes,NULL,0,0,0,0
Golden Corral,NULL,0,0,0,0
The Cheesecake Factory,NULL,0,0,0,0
Panda Express,NULL,0,0,0,0
Little Caesars Pizza,NULL,0,0,0,0
Carl's Jr.,NULL,0,0,0,0
Ruby Tuesday,NULL,0,0,0,0
Texas Roadhouse,NULL,0,0,0,0
Whataburger,NULL,0,0,0,0
Red Robin,NULL,0,0,0,0
LongHorn Steakhouse,NULL,0,0,0,0
