Chick fil a,0,0,0,Grilled Chicken Cool Wrap,,13,4.5,60,900,30,15,3,36,340,NULL,NULL,0,0
Chick fil a,0,0,0,Grilled Chicken Club Sandwich,,14,7,90,1090,41,3,8,38,440,NULL,NULL,0,0
Chick fil a,0,1,0,Grilled Market Salad,,5,2,65,570,17,4,8,23,200,NULL,NULL,0,0
Chick fil a,0,1,0,Grilled Chicken Nuggets,,4.5,1.5,110,800,6,0,1,34,200,NULL,NULL,0,0
Chick fil a,0,0,0,Grilled Chicken Sandwich,,5,1.5,65,800,40,3,7,30,320,NULL,NULL,0,0
Chick fil a,0,0,0,Grilled Market Salad,,5,2,65,570,17,4,8,23,200,NULL,NULL,0,0
Chick fil a,0,0,0,Asian Salad,,13,3,70,1090,24,5,11,29,330,NULL,NULL,0,0
