Dunnkin Donuts,0,0,0,Angus Steak & Egg Breakfast Sandwhich,,19,10,125,1300,67,4,7,33,570,NULL,NULL,0,0
Dunnkin Donuts,0,0,0,chipotle chicken sandwich,,26,9,110,1730,49,4,5,49,620,NULL,NULL,0,0
Dunnkin Donuts,0,0,0,Grilled Chicken Flatbread,,12,3.5,65,1020,33,3,4,28,360,NULL,NULL,0,0
Dunnkin Donuts,0,0,0,Turkey Cheddar Bacon Sandwich,,14,6,50,1381,54,2,3,24,440,NULL,NULL,0,0
Dunnkin Donuts,0,0,0,Egg and Cheese on English Muffin w,,13,5,190,730,34,2,3,14,320,NULL,NULL,0,0
Dunnkin Donuts,0,0,0,Ham Egg and Cheese English Muffin,,8,3.5,95,770,34,7,3,17,280,NULL,NULL,0,0
Dunnkin Donuts,0,0,0,Original Oatmeal with Dried Fruit,,4,1,null,140,54,6,22,7,270,NULL,NULL,0,0
Dunnkin Donuts,0,0,0,Ham Egg and Cheese Wake up Wrap,,11,4.5,115,600,14,1,1,11,200,NULL,NULL,0,0
